ContigSetID,cbID,contigSet,methodHTML,methodFails,transcriptBaseCoverage,transcriptBaseCoveragePercent,transcriptsPartial,contigBaseCoverage,contigBaseCoveragePercent,contigAssembledBases,contigAdditionalBases,contigsAssembled,contigsTP,contigsFP,contigsFN,contigSensitivity,contigSpecificity,contigFDR,contigF1
"cat 15, 90%aa --> 95% nt identity --> tpm>0 -->TR 4/4",507,15 assemblies merged,DRAP (cluster ORFs at 90% aa identity &#8594; cluster contigs at 95% nt identity &#8594; TPM>0 &#8594;  Transrate contigs passing 4 of 4 criteria (used Salmon TPM>0; original method used eXpress FPKM>1),,16203851,45.844254,12840,22104762,40.38450113,55164577,33059815,38422,16429,21993,9302,0.638490537,0.427593566,0.572406434,0.512181815
"cat 15, 90%aa --> 95% nt identity --> tpm>1 -->TR 4/4",507,15 assemblies merged,DRAP (cluster ORFs at 90% aa identity &#8594; cluster contigs at 95% nt identity &#8594; TPM>1 &#8594;  Transrate contigs passing 4 of 4 criteria (used Salmon TPM>1; original method used eXpress FPKM>1),,18227005,51.5682011,13259,24860248,45.41866198,60721730,35861482,35264,16691,18573,9040,0.648672807,0.473315563,0.526684437,0.547290762
"cat 4, cluster ORFs @ 90% aa identity",407,4 assemblies merged,DRAP (cluster ORFs at 90% aa identity),,22181097,62.75519597,15523,31276248,57.14043303,133521877,102245629,133031,20392,112639,5339,0.792507093,0.15328758,0.84671242,0.256887668
"cat 4, 90%aa --> 95% nt identity",407,4 assemblies merged,DRAP (cluster ORFs at 90% aa identity &#8594; cluster contigs at 95% nt identity),,21153681,59.84841041,14836,29613544,54.10274045,94221633,64608089,79856,19356,60500,6375,0.752244374,0.242386295,0.757613705,0.366636044
"cat 4, 90%aa --> 95% nt identity --> tpm>0",407,4 assemblies merged,DRAP (cluster ORFs at 90% aa identity  &#8594; cluster contigs at 95% nt identity &#8594; TPM>0 (used Salmon; original method used eXpress),,21030217,59.49910363,14748,29419603,53.74841813,88239310,58819707,71449,19234,52215,6497,0.747503012,0.269199009,0.730800991,0.395842766
"cat 4, 90%aa --> 95% nt identity --> tpm>10",407,4 assemblies merged,DRAP (cluster ORFs at 90% aa identity &#8594; cluster contigs at 95% nt identity &#8594; TPM>10 (used Salmon; original method used eXpress),,10298027,29.13538057,7532,12782651,23.35338348,23284945,10502294,12591,8555,4036,17176,0.332478334,0.679453578,0.320546422,0.446479829
"cat 4, 90%aa --> 95% nt identity --> tpm>1",407,4 assemblies merged,DRAP (cluster ORFs at 90% aa identity &#8594; cluster contigs at 95% nt identity &#8594; TPM>1 (used Salmon; original method used eXpress),,20074855,56.79617467,14123,27523003,50.28340707,68879569,41356566,58430,17998,40432,7733,0.699467568,0.308026699,0.691973301,0.427704043
"cat 4, 90%aa --> 95% nt identity --> tpm>3",407,4 assemblies merged,DRAP (cluster ORFs at 90% aa identity &#8594; cluster contigs at 95% nt identity &#8594; TPM>3 (used Salmon; original method used eXpress),,17034390,48.19403128,11904,22326492,40.78959282,46415406,24088914,28829,14200,14629,11531,0.551863511,0.492559575,0.507440425,0.520527859
"cat 4, 90%aa --> 95% nt identity --> tpm>5",407,4 assemblies merged,DRAP (cluster ORFs at 90% aa identity &#8594; cluster contigs at 95% nt identity &#8594; TPM>5 (used Salmon; original method used eXpress),,14697206,41.58162433,10327,18743875,34.24429727,36604275,17860400,21149,11961,9188,13770,0.464847849,0.565558655,0.434441345,0.51028157
"cat 4, 90%aa --> 95% nt identity --> tpm>0 -->TR 3/4",407,4 assemblies merged,DRAP (cluster ORFs at 90% aa identity &#8594; cluster contigs at 95% nt identity &#8594; TPM>0 &#8594;  Transrate contigs passing 3 of 4 criteria (used Salmon TPM>0; original method used eXpress FPKM>1 &amp;contigs meeting min. threshold based on all 4 crieteria),,20744037,58.68943755,14621,28931937,52.85747218,83359078,54427141,66373,19050,47323,6681,0.740352104,0.287014298,0.712985702,0.413662816
"cat 4, 90%aa --> 95% nt identity --> tpm>1 -->TR 3/4",407,4 assemblies merged,DRAP (cluster ORFs at 90% aa identity &#8594; cluster contigs at 95% nt identity &#8594; TPM>1 &#8594;  Transrate contigs passing 3 of 4 criteria (used Salmon TPM>1; original method used eXpress FPKM>1 &amp;contigs meeting min. threshold based on all 4 crieteria),,19992012,56.56179362,14074,27401277,50.06101861,67361732,39960455,55045,17943,37102,7788,0.697330069,0.325969661,0.674030339,0.444265623
"cat 4, 90%aa --> 95% nt identity --> tpm>0 -->TR 4/4",407,4 assemblies merged,DRAP (cluster ORFs at 90% aa identity &#8594; cluster contigs at 95% nt identity &#8594; TPM>0 &#8594;  Transrate contigs passing 4 of 4 criteria (used Salmon TPM>0; original method used eXpress FPKM>1),,17558872,49.67790607,13279,24167604,44.15322956,56016631,31849027,40353,17167,23186,8564,0.667171894,0.425420663,0.574579337,0.519550875
"cat 4, 90%aa --> 95% nt identity --> tpm>1 -->TR 4/4",407,4 assemblies merged,DRAP (cluster ORFs at 90% aa identity &#8594; cluster contigs at 95% nt identity &#8594; TPM>1 &#8594;  Transrate contigs passing 4 of 4 criteria (used Salmon TPM>1; original method used eXpress FPKM>1),,17722111,50.13974506,13035,24199771,44.21199736,51171905,26972134,34340,16538,17802,9193,0.642726672,0.481595807,0.518404193,0.550615105
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
