ContigSetID,cbID,contigSet,methodHTML,methodFails,transcriptBaseCoverage,transcriptBaseCoveragePercent,transcriptsPartial,contigBaseCoverage,contigBaseCoveragePercent,contigAssembledBases,contigAdditionalBases,contigsAssembled,contigsTP,contigsFP,contigsFN,contigSensitivity,contigSpecificity,contigFDR,contigF1
All + norm,601,all (82) assemblies merged,with trimmed reads: IDBA k=21-141 step 10; rnaSPAdes k=33 49 55 77; Soap k=21-31 step 2 &amp; k=41-121 step 10; TransLiG k=21-31 step 2 <br />with BBNorm normalized reads: IDBA k=21-141 step 10; rnaSPAdes k=33 49 55 77; Soap k=21-31 step 2 &amp; k=41-121 step 10; TransLiG k=21-31 step 2 <br />with assembly <em>in-silico normalization</em>: Trinity k=21-31 step 2,,28062440,79.39480728,18551,41843095,76.44563272,6053708053,6011864958,5061079,24342,5036737,1389,0.946018421,0.004809646,0.995190354,0.009570635
evigene full,602,all (82) assemblies merged,evigene ok + alt/cull set,,26435132,74.79079547,17670,38115490,69.63545,602719572,564604082,300738,22937,277801,2794,0.891415025,0.076269045,0.923730955,0.140515639
evi4F --> TF1,603,all (82) assemblies merged,evigene full set &#8594; Transfuse (filter),,24488573,69.28355246,16629,34829251,63.631625,178362619,143533368,89017,21534,67483,4197,0.836889355,0.241908849,0.758091151,0.375326803
evi4F --> TF2,603,all (82) assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch),,24317792,68.80037549,16494,34638033,63.28227749,176223580,141585547,87494,21409,66085,4322,0.832031402,0.244691065,0.755308935,0.378167366
evi4F --> TF3,603,all (82) assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,23738950,67.16270432,16247,33521088,61.24166441,143660976,110139888,74781,21007,53774,4724,0.816408224,0.280913601,0.719086399,0.417999841
evi4 --> TF --> Det,604,all (82) assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,23411877,66.23734296,15995,33069428,60.41649996,118887018,85817590,61925,20709,41216,5022,0.804826863,0.33442067,0.66557933,0.47250616
con2-eviFull Best evi set,606,all (82) assemblies merged,intersection of consensus 2 and evigene full sets,,20342598,57.55367843,14161,28955931,52.90130824,135064461,106108530,51170,18158,33012,7573,0.705685749,0.354856361,0.645143639,0.472243534
con2/evi4 -- Transfuse 1,607,all (82) assemblies merged,con2 U evigene full &#8594; Transfuse (filter),,19664113,55.63409532,13774,27712153,50.62897642,100984690,73272537,36849,17499,19350,8232,0.680074618,0.474883986,0.525116014,0.559252157
con2/evi4 -- Transfuse 2,607,all (82) assemblies merged,con2 U evigene full &#8594; Transfuse (filter &#8594; vsearch),,19474921,55.09882959,13637,27461925,50.17182004,100804428,73342503,36766,17353,19413,8378,0.674400529,0.471984986,0.528015014,0.555322655
con2/evi4 -- Transfuse 3,607,all (82) assemblies merged,con2 U evigene full &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,19387491,54.85147092,13585,27292529,49.86234044,96153943,68861414,35671,17264,18407,8467,0.670941666,0.483978582,0.516021418,0.56232696
con2/evi4 --TF--Det,608,all (82) assemblies merged,con2 U evigene full &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,19208032,54.34374199,13435,26959860,49.25456771,86413618,59453758,32763,17027,15736,8704,0.661730986,0.519702103,0.480297897,0.582179369
consensus 2,605,all (82) assemblies merged,consensus 2,,27206905,76.97431083,18005,40479444,73.95429781,462822583,422343139,181805,23744,158061,1987,0.922777972,0.130601469,0.869398531,0.228818133
consensus 3,605,all (82) assemblies merged,consensus 3,,26227424,74.20314391,17384,38746439,70.78816816,301453193,262706754,98940,22931,76009,2800,0.891181843,0.231766727,0.768233273,0.367864219
consensus 4,605,all (82) assemblies merged,consensus 4,,24736310,69.98445485,16374,35757715,65.32789097,197692934,161935219,58415,21306,37109,4425,0.828028448,0.364735085,0.635264915,0.506405533
consensus 5,605,all (82) assemblies merged,consensus 5,,19221327,54.38135646,12920,26799268,48.96117266,96097972,69298704,24430,15775,8655,9956,0.613073724,0.645722472,0.354277528,0.628974701
consensus 2 -- Transfuse 1,609,all (82) assemblies merged,consensus 2 &#8594; Transfuse (filter),,25486448,72.10676004,16971,37001774,67.60073616,178470487,141468713,74829,22273,52556,3458,0.865609576,0.29765198,0.70234802,0.442979316
consensus 2 -- Transfuse 2,609,all (82) assemblies merged,consensus 2 &#8594; Transfuse (filter &#8594; vsearch),,25037721,70.83721278,16674,36482932,66.65283293,177133683,140650751,74183,21980,52203,3751,0.854222533,0.296294299,0.703705701,0.439978381
consensus 2 -- Transfuse 3,609,all (82) assemblies merged,consensus 2 &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,24607195,69.61916015,16433,35575107,64.99427358,144822710,109247603,65090,21625,43465,4106,0.840425945,0.332232294,0.667767706,0.476211449
consensus 2 -- TF--Det,610,all (82) assemblies merged,consensus 2 &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,24377673,68.969792,16275,35154829,64.22644277,123873073,88718244,57849,21408,36441,4323,0.831992538,0.370066898,0.629933102,0.512275664
consensus 2 -- evi4Full,611,all (82) assemblies merged,consensus 2 &#8594; evigene full set,,25232180,71.38738001,16772,36441875,66.57782346,232173705,195731830,83676,21778,61898,3953,0.84637208,0.260265787,0.739734213,0.39810981
Trinity k=25 -- Compacta d=0,701,Trinity (k=25),Compacta (d=0.0),,7599221,21.49986554,8218,10194334,18.62463359,15014377,4820043,21252,11204,10048,14527,0.435428083,0.52719744,0.47280256,0.476938467
Trinity k=25 -- Compacta d=0.3,701,Trinity (k=25),Compacta (d=0.3),,10048005,28.42801341,9505,13248086,24.2037143,19108741,5860655,23980,12624,11356,13107,0.490614434,0.526438699,0.473561301,0.507895637
Trinity k=25 -- Compacta d=1,701,Trinity (k=25),Compacta (d=1.0),,20536761,58.10300821,14757,27727168,50.65640822,66344795,38617627,51292,19134,32158,6597,0.743616649,0.37304063,0.62695937,0.496838607
con2--Tf--Det--Compacta d=0,702,consensus 2,Compacta (d=0.0),,3906045,11.05105935,4255,5562560,10.16257088,8953400,3390840,12194,6196,5998,19535,0.240799036,0.508118747,0.491881253,0.326750165
con2--Tf--Det--Compacta d=0.3,702,consensus 2,Compacta (d=0.3),,4401508,12.45283302,4589,6223430,11.36995349,9805080,3581650,12669,6600,6069,19131,0.256499942,0.520956666,0.479043334,0.34375
con2--Tf--Det--Compacta d=1,702,consensus 2,Compacta (d=1.0),,8207731,23.221474,7283,11977751,21.88286392,23866412,11888661,19876,10258,9618,15473,0.398663091,0.516099819,0.483900181,0.449843226
"Trinity k=25 -- Grouper (with orphaned reads, min cut filter)",705,Trinity (k=25),Grouper (with orphaned reads and min cut filters),,18207894,51.51413188,12785,22969590,41.96450671,28325822,5356232,18732,15484,3248,10247,0.601764409,0.826606876,0.173393124,0.696489216
"Trinity k=25 -- Grouper (without orphaned reads, min cut filter)",705,Trinity (k=25),Grouper (without orphaned reads or min cut filters),,18210998,51.52291378,12787,22972656,41.97010817,28329633,5356977,18734,15485,3249,10246,0.601803272,0.826572008,0.173427992,0.696502867
"con2--Tf--Det--Grouper (with orphaned reads, min cut filter)",706,consensus 2,Grouper (with orphaned reads and min cut filters),,13083681,37.01660766,9215,16986237,31.03316413,21708656,4722419,11929,11039,890,14692,0.429015584,0.925391902,0.074608098,0.586245353
"con2--Tf--Det--Grouper (without orphaned reads, min cut filter)",706,consensus 2,Grouper (without orphaned reads or min cut filters),,13083858,37.01710843,9213,16984143,31.02933848,21712041,4727898,11931,11038,893,14693,0.428976721,0.925152963,0.074847037,0.586161117
"Trinity k=25 -- Corset d=0, clusters",703,Trinity (k=25),Corset clusters (d=0.0),,23453770,66.35586746,15913,33011272,60.31025131,91206252,58194980,54310,20550,33760,5181,0.798647546,0.378383355,0.621616645,0.513486838
"Trinity k=25 -- Corset d=0.3, clusters",703,Trinity (k=25),Corset clusters (d=0.3),,18906351,53.49022017,13228,23994216,43.83645674,31334486,7340270,21959,16189,5770,9542,0.629163266,0.737237579,0.262762421,0.6789264
"Trinity k=25 -- Corset d=1, clusters",703,Trinity (k=25),Corset clusters (d=1.0),,17113507,48.41787065,12053,21444151,39.1775917,25835335,4391184,16788,14469,2319,11262,0.562317827,0.861865618,0.138134382,0.680589854
"con2--Tf--Det--Corset d=0, clusters",704,consensus 2,Corset clusters (d=0.0),,24163537,68.36395421,15893,34604095,63.22027415,118087473,83483378,48346,20324,28022,5407,0.789864366,0.420386382,0.579613618,0.548726325
"con2--Tf--Det--Corset d=0.3, clusters",704,consensus 2,Corset clusters (d=0.3),,16525096,46.75312668,11350,21665389,39.58178453,32430879,10765490,16370,13802,2568,11929,0.536395787,0.843127673,0.156872327,0.655661386
"con2--Tf--Det--Corset d=1, clusters",704,consensus 2,Corset clusters (d=1.0),,7085813,20.04732153,5438,9395608,17.16539368,11620519,2224911,7434,6757,677,18974,0.262601531,0.908931934,0.091068066,0.407477763
"Trinity k=25 -- Corset, super-clusters",703,Trinity (k=25),Corset superclusters,,7292586,20.63232777,6344,9507857,17.37046804,11584238,2076381,9362,7999,1363,17732,0.310870157,0.854411451,0.145588549,0.455874391
"con2--Tf--Det--Corset, super-clusters",704,consensus 2,Corset superclusters,,3633624,10.2803205,3134,4949778,9.043043089,6306182,1356404,4594,4063,531,21668,0.157902919,0.884414454,0.115585546,0.267963726
IDBA-Tran_HFk101.fa,idba,IDBA,trimmed reads; k=101,,23201433,65.64195065,16122,33194459,60.64492651,86610071,53415612,79162,20976,58186,4755,0.815203451,0.26497562,0.73502438,0.399950426
IDBA-Tran_HFk111.fa,idba,IDBA,trimmed reads; k=111,,23188191,65.60448612,16122,33071475,60.42023974,86223223,53151748,83157,20906,62251,4825,0.812482997,0.251403971,0.748596029,0.38399089
IDBA-Tran_HFk121.fa,idba,IDBA,trimmed reads; k=121,,23616367,66.81589009,16124,33691577,61.55314088,85934127,52242550,73235,20869,52366,4862,0.811045043,0.284959377,0.715040623,0.4217408
IDBA-Tran_HFk131.fa,idba,IDBA,trimmed reads; k=131,,23818264,67.38710105,16081,33942848,62.01220277,84482983,50540135,65627,20830,44797,4901,0.809529361,0.317399851,0.682600149,0.456008231
IDBA-Tran_HFk141.fa,idba,IDBA,trimmed reads; k=141,,23860923,67.50779273,16035,34022654,62.15800509,82814501,48791847,59374,20754,38620,4977,0.806575726,0.34954694,0.65045306,0.487726926
IDBA-Tran_HFk21.fa,idba,IDBA,trimmed reads; k=21,,13850194,39.18524132,15245,18983462,34.68201298,48171523,29188061,73900,19302,54598,6429,0.750145739,0.261190798,0.738809202,0.387469763
IDBA-Tran_HFk31.fa,idba,IDBA,trimmed reads; k=31,,21003008,59.42212339,15962,29532684,53.95501252,78165395,48632711,65629,20505,45124,5226,0.796898683,0.312438099,0.687561901,0.448883538
IDBA-Tran_HFk41.fa,idba,IDBA,trimmed reads; k=41,,22527622,63.73559131,16092,32013701,58.48772967,83003435,50989734,66772,20852,45920,4879,0.810384361,0.312286587,0.687713413,0.450839432
IDBA-Tran_HFk51.fa,idba,IDBA,trimmed reads; k=51,,23171267,65.55660441,16218,33029299,60.34318591,84716060,51686761,66224,21028,45196,4703,0.81722436,0.317528388,0.682471612,0.457354141
IDBA-Tran_HFk61.fa,idba,IDBA,trimmed reads; k=61,,23514688,66.52821786,16290,33491793,61.18814363,85701893,52210100,66646,21139,45507,4592,0.821538222,0.317183327,0.682816673,0.457668034
IDBA-Tran_HFk71.fa,idba,IDBA,trimmed reads; k=71,,23697997,67.04683929,16336,33691000,61.55208672,86323275,52632275,67615,21141,46474,4590,0.82161595,0.312667308,0.687332692,0.452959955
IDBA-Tran_HFk81.fa,idba,IDBA,trimmed reads; k=81,,23770391,67.25165782,16301,33843683,61.83103235,86539831,52696148,65351,21119,44232,4612,0.82076095,0.323162614,0.676837386,0.463735974
IDBA-Tran_HFk91.fa,idba,IDBA,trimmed reads; k=91,,23823679,67.40242127,16287,33960159,62.04382927,86427437,52467278,64593,21125,43468,4606,0.820994132,0.327047823,0.672952177,0.467760507
IDBA-Tran_HTk101.fa,idba,IDBA,normalized trimmed reads; k=101,,23990058,67.87314401,16154,34297380,62.65991832,83008007,48710627,55766,21107,34659,4624,0.820294586,0.378492271,0.621507729,0.517982257
IDBA-Tran_HTk111.fa,idba,IDBA,normalized trimmed reads; k=111,,23900420,67.61953842,16080,34168617,62.42467355,81516605,47347988,54417,20987,33430,4744,0.815630951,0.385669919,0.614330081,0.523706144
IDBA-Tran_HTk121.fa,idba,IDBA,normalized trimmed reads; k=121,,23918538,67.67079822,16018,34321290,62.70360091,80629984,46308694,51230,20927,30303,4804,0.813299133,0.408491118,0.591508882,0.54383389
IDBA-Tran_HTk131.fa,idba,IDBA,normalized trimmed reads; k=131,,23829140,67.41787164,15933,34090017,62.28107455,78634769,44544752,48328,20753,27575,4978,0.806536862,0.429419798,0.570580202,0.560445051
IDBA-Tran_HTk141.fa,idba,IDBA,normalized trimmed reads; k=141,,23736464,67.15567088,15840,33931129,61.99079264,77131704,43200575,45883,20610,25273,5121,0.800979363,0.449185973,0.550814027,0.575585779
IDBA-Tran_HTk21.fa,idba,IDBA,normalized trimmed reads; k=21,,14751646,41.73564705,15433,20038888,36.61023335,50075088,30036200,73849,19554,54295,6177,0.759939373,0.264783545,0.735216455,0.392729464
IDBA-Tran_HTk31.fa,idba,IDBA,normalized trimmed reads; k=31,,21809808,61.70473783,16053,30581338,55.87086072,80519972,49938634,65089,20779,44310,4952,0.807547316,0.31923981,0.68076019,0.457586435
IDBA-Tran_HTk41.fa,idba,IDBA,normalized trimmed reads; k=41,,23101051,65.35794792,16183,32830523,59.98003024,84062190,51231667,64666,21102,43564,4629,0.820100268,0.326322952,0.673677048,0.466873901
IDBA-Tran_HTk51.fa,idba,IDBA,normalized trimmed reads; k=51,,23763884,67.23324808,16278,33810933,61.77119943,85943423,52132490,63403,21254,42149,4477,0.82600754,0.335220731,0.664779269,0.476899948
IDBA-Tran_HTk61.fa,idba,IDBA,normalized trimmed reads; k=61,,24101009,68.18704877,16334,34393975,62.83639345,86738332,52344357,62625,21341,41284,4390,0.829388675,0.340774451,0.659225549,0.483068496
IDBA-Tran_HTk71.fa,idba,IDBA,normalized trimmed reads; k=71,,24240690,68.582237,16353,34639278,63.28455206,86376234,51736956,62164,21354,40810,4377,0.829893902,0.343510714,0.656489286,0.485897946
IDBA-Tran_HTk81.fa,idba,IDBA,normalized trimmed reads; k=81,,24183636,68.4208187,16298,34557892,63.13586315,85385581,50827689,59385,21294,38091,4437,0.827562085,0.358575398,0.641424602,0.50035246
IDBA-Tran_HTk91.fa,idba,IDBA,normalized trimmed reads; k=91,,24152613,68.33304782,16228,34549160,63.11991014,84147077,49597917,56975,21233,35742,4498,0.825191403,0.372672225,0.627327775,0.513457307
rnaSPAdes_HFk33.fa,102,rnaSPAdes,trimmed reads; k=33,,14336719,40.56172742,14796,19225187,35.12363472,44272737,25047550,88291,18520,69771,7211,0.719754382,0.209760904,0.790239096,0.32484959
rnaSPAdes_HFk49.fa,102,rnaSPAdes,trimmed reads; k=49,,15642061,44.25482668,14734,20752981,37.91485222,44085879,23332898,80714,18505,62209,7226,0.719171427,0.229266298,0.770733702,0.347691296
rnaSPAdes_HFk55.fa,102,rnaSPAdes,trimmed reads; k=55,,15948979,45.12316513,14648,21466029,39.21756192,46370181,24904152,83329,18431,64898,7300,0.716295519,0.221183502,0.778816498,0.337997433
rnaSPAdes_HFk77.fa,102,rnaSPAdes,trimmed reads; k=77,,17358573,49.1112162,14539,23238722,42.45619993,47304556,24065834,79999,18170,61829,7561,0.706152112,0.227127839,0.772872161,0.343705665
rnaSPAdes_HTk33.fa,102,rnaSPAdes,normalized trimmed reads; k=33,,14833966,41.96854841,14759,19826735,36.22263845,40940401,21113666,70340,18554,51786,7177,0.721075745,0.263775945,0.736224055,0.386255998
rnaSPAdes_HTk49.fa,102,rnaSPAdes,normalized trimmed reads; k=49,,16319929,46.17266416,14653,21607056,39.47521251,41921881,20314825,66602,18477,48125,7254,0.718083246,0.277424101,0.722575899,0.400225272
rnaSPAdes_HTk55.fa,102,rnaSPAdes,normalized trimmed reads; k=55,,16739423,47.35950484,14573,22416902,40.95476821,42803504,20386602,63849,18373,45476,7358,0.714041429,0.287757052,0.712242948,0.41020317
rnaSPAdes_HTk77.fa,102,rnaSPAdes,normalized trimmed reads; k=577,,18067328,51.11643979,14368,24157257,44.13432602,43799526,19642269,61462,18113,43349,7618,0.703936885,0.294702418,0.705297582,0.415469132
SOAPdenovo_HFk101.fa,103,SOAPdenovo-Trans,trimmed reads; k=101,,19230646,54.40772196,13819,24445067,44.66014318,35028551,10583484,29162,17048,12114,8683,0.662547122,0.584596393,0.415403607,0.621135664
SOAPdenovo_HFk111.fa,103,SOAPdenovo-Trans,trimmed reads; k=111,,18274641,51.70297381,13371,22793045,41.64196618,31375224,8582179,24179,16229,7950,9502,0.630717811,0.671202283,0.328797717,0.650330595
SOAPdenovo_HFk121.fa,103,SOAPdenovo-Trans,trimmed reads; k=121,,16294805,46.10158285,12546,19857609,36.27904399,26354773,6497164,20437,14987,5450,10744,0.582449186,0.733326809,0.266673191,0.649237567
SOAPdenovo_HFk21.fa,103,SOAPdenovo-Trans,trimmed reads; k=21,,19803487,56.02841498,14122,26787595,48.93984656,43618210,16830615,41318,18120,23198,7611,0.704208931,0.438549785,0.561450215,0.540500231
SOAPdenovo_HFk23.fa,103,SOAPdenovo-Trans,trimmed reads; k=23,,20220645,57.2086466,14098,27447470,50.14541135,43881535,16434065,41088,18154,22934,7577,0.705530294,0.441832165,0.558167835,0.54337838
SOAPdenovo_HFk25.fa,103,SOAPdenovo-Trans,trimmed reads; k=25,,20472669,57.92167786,14128,27735831,50.67223517,44034660,16298829,41256,18172,23084,7559,0.706229839,0.440469265,0.559530735,0.542553033
SOAPdenovo_HFk27.fa,103,SOAPdenovo-Trans,trimmed reads; k=27,,20587313,58.24603092,14361,28143218,51.41651465,59570540,31427322,110602,18534,92068,7197,0.720298473,0.167573823,0.832426177,0.271893085
SOAPdenovo_HFk29.fa,103,SOAPdenovo-Trans,trimmed reads; k=29,,20778863,58.78796795,14377,28379883,51.84889197,59846416,31466533,112523,18565,93958,7166,0.721503245,0.164988491,0.835011509,0.268563658
SOAPdenovo_HFk31.fa,103,SOAPdenovo-Trans,trimmed reads; k=31,,20787248,58.81169096,14348,28478816,52.02963854,60244332,31765516,114791,18592,96199,7139,0.722552563,0.161963917,0.838036083,0.26461337
SOAPdenovo_HFk41.fa,103,SOAPdenovo-Trans,trimmed reads; k=41,,21091362,59.67209627,14380,28792328,52.60241221,61251330,32459002,126403,18697,107706,7034,0.726633244,0.147915793,0.852084207,0.245796469
SOAPdenovo_HFk51.fa,103,SOAPdenovo-Trans,trimmed reads; k=51,,20660289,58.45249606,14512,27904923,50.98115937,53216496,25311573,73594,18786,54808,6945,0.730092107,0.255265375,0.744734625,0.378273345
SOAPdenovo_HFk61.fa,103,SOAPdenovo-Trans,trimmed reads; k=61,,20391512,57.69206688,14451,27132854,49.57062071,49605621,22472767,62839,18621,44218,7110,0.723679608,0.296328713,0.703671287,0.420480975
SOAPdenovo_HFk71.fa,103,SOAPdenovo-Trans,trimmed reads; k=71,,20081295,56.81439484,14363,26446143,48.31602764,44762893,18316750,48467,18326,30141,7405,0.712214838,0.378112943,0.621887057,0.493975579
SOAPdenovo_HFk81.fa,103,SOAPdenovo-Trans,trimmed reads; k=81,,19902283,56.30793057,14229,25824846,47.18094329,41595434,15770588,44312,17907,26405,7824,0.695930978,0.404111753,0.595888247,0.511314478
SOAPdenovo_HFk91.fa,103,SOAPdenovo-Trans,trimmed reads; k=91,,19626545,55.5278072,14045,25179147,46.00127748,38133823,12954676,35648,17483,18165,8248,0.6794528,0.490434246,0.509565754,0.569673667
SOAPdenovo_HTk101.fa,103,SOAPdenovo-Trans,normalized trimmed reads; k=101,,18699998,52.9064022,13722,23263364,42.50121986,33041768,9778404,27232,16661,10571,9070,0.647506898,0.61181698,0.38818302,0.629156203
SOAPdenovo_HTk111.fa,103,SOAPdenovo-Trans,normalized trimmed reads; k=111,,17137979,48.48710732,13329,21025166,38.41212315,29687210,8662044,24461,16049,8412,9682,0.623722358,0.656105638,0.343894362,0.639504303
SOAPdenovo_HTk121.fa,103,SOAPdenovo-Trans,normalized trimmed reads; k=121,,12976314,36.71284283,12742,15624475,28.54528035,24541133,8916658,24917,15116,9801,10615,0.587462594,0.606654092,0.393345908,0.596904123
SOAPdenovo_HTk21.fa,103,SOAPdenovo-Trans,normalized trimmed reads; k=21,,18478539,52.27984604,14273,24815773,45.33740796,45587648,20771875,41868,18174,23694,7557,0.706307567,0.434078533,0.565921467,0.537700262
SOAPdenovo_HTk23.fa,103,SOAPdenovo-Trans,normalized trimmed reads; k=23,,18894262,53.45601773,14242,25383036,46.37377439,46659640,21276604,41514,18151,23363,7580,0.705413703,0.437225996,0.562774004,0.539846829
SOAPdenovo_HTk25.fa,103,SOAPdenovo-Trans,normalized trimmed reads; k=25,,19068273,53.94833307,14263,25562101,46.70091887,47075066,21512965,41804,18159,23645,7572,0.705724612,0.434384269,0.565615731,0.537765603
SOAPdenovo_HTk27.fa,103,SOAPdenovo-Trans,normalized trimmed reads; k=27,,19537507,55.27589914,13997,25910485,47.33740226,43374242,17463757,41234,17807,23427,7924,0.692044615,0.431852355,0.568147645,0.53183006
SOAPdenovo_HTk29.fa,103,SOAPdenovo-Trans,normalized trimmed reads; k=29,,19253237,54.47163686,14233,25764399,47.07050908,47414492,21650093,42367,18180,24187,7551,0.706540749,0.42910756,0.57089244,0.533936386
SOAPdenovo_HTk31.fa,103,SOAPdenovo-Trans,normalized trimmed reads; k=31,,19394881,54.87237885,14278,25948653,47.40713365,47713681,21765028,43116,18224,24892,7507,0.708250748,0.422673717,0.577326283,0.529405784
SOAPdenovo_HTk41.fa,103,SOAPdenovo-Trans,normalized trimmed reads; k=41,,19567135,55.35972326,14247,25932596,47.37779816,46750827,20818231,46727,18198,28529,7533,0.707240294,0.389453635,0.610546365,0.502304783
SOAPdenovo_HTk51.fa,103,SOAPdenovo-Trans,normalized trimmed reads; k=51,,19871125,56.21977774,14211,26013598,47.52578552,43529628,17516030,44700,18085,26615,7646,0.702848704,0.40458613,0.59541387,0.513552271
SOAPdenovo_HTk61.fa,103,SOAPdenovo-Trans,normalized trimmed reads; k=61,,19952123,56.44893888,14157,25795741,47.12776964,41452958,15657217,41157,17942,23215,7789,0.697291205,0.435940423,0.564059577,0.53647889
SOAPdenovo_HTk71.fa,103,SOAPdenovo-Trans,normalized trimmed reads; k=71,,19795026,56.00447696,14129,25470768,46.53405719,39473779,14003011,36941,17783,19158,7948,0.691111888,0.481389242,0.518610758,0.567494256
SOAPdenovo_HTk81.fa,103,SOAPdenovo-Trans,normalized trimmed reads; k=81,,19541838,55.28815249,14054,24870596,45.43756736,37910599,13040003,36075,17477,18598,8254,0.679219618,0.484462924,0.515537076,0.565543798
SOAPdenovo_HTk91.fa,103,SOAPdenovo-Trans,normalized trimmed reads; k=91,,19215332,54.36439529,13908,24157912,44.13552267,35494831,11336919,31249,17073,14176,8658,0.663518713,0.546353483,0.453646517,0.599262899
TransLiG_HFk21.fa,104,TransLiG,trimmed reads; k=21,,20574662,58.21023847,15390,27998590,51.15228517,140866504,112867914,72515,19510,53005,6221,0.758229373,0.269047783,0.730952217,0.397166297
TransLiG_HFk23.fa,104,TransLiG,trimmed reads; k=23,,22330176,63.17697321,15765,30962046,56.56639875,141016270,110054224,70828,20095,50733,5636,0.780964595,0.28371548,0.71628452,0.416222206
TransLiG_HFk25.fa,104,TransLiG,trimmed reads; k=25,,22994215,65.05568541,15863,32235408,58.89277934,140534655,108299247,68931,20335,48596,5396,0.790291866,0.29500515,0.70499485,0.429633855
TransLiG_HFk27.fa,104,TransLiG,trimmed reads; k=27,,23233945,65.73393424,15926,32640910,59.633615,138652749,106011839,67602,20378,47224,5353,0.791963002,0.301440786,0.698559214,0.436672988
TransLiG_HFk29.fa,104,TransLiG,trimmed reads; k=29,,23429707,66.28778794,15923,33037909,60.35891603,136719516,103681607,66333,20430,45903,5301,0.79398391,0.307991497,0.692008503,0.443821689
TransLiG_HFk31.fa,104,TransLiG,trimmed reads; k=31,,23633895,66.86548065,15994,33288874,60.81741887,135005677,101716803,65004,20472,44532,5259,0.795616183,0.314934466,0.685065534,0.45124814
